	0
1248	HOXC-AS2
1249	LINC02728
1250	GJC1
1251	CTRB1
1252	TGIF1
1253	RHOV
1254	SMC1B
1255	WWC3
1256	AL356489.2
1257	AC083805.1
1258	TMEM214
1259	IL4R
1260	KLB
1261	C15orf48
1262	AC107214.2
1263	VAMP8
1264	PBX4
1265	AC007598.2
1266	LRRC3
1267	CEACAM4
1268	VPS4B
1269	AC120114.1
1270	SPRR2D
1271	PLTP
1272	EPB41
1273	FBXO6
1274	AJ011931.1
1275	TRAV4
1276	C2orf72
1277	SELENOK
1278	CHROMR
1279	RTCA-AS1
1280	SYBU
1281	BBS10
1282	DDC
1283	AC006238.2
1284	MRPL33
1285	AL590096.1
1286	ERF
1287	SMG9
1288	KPNA3
1289	AC025423.1
1290	NADK2-AS1
1291	AL117344.2
1292	AC234772.2
1293	MPZ
1294	AFTPH
1295	AL139393.1
1296	AL589693.1
1297	COL4A4
1298	PUDP
1299	AC006262.2
1300	LRTOMT
1301	STRBP
1302	ERCC4
1303	AL135787.1
1304	IGKV4-1
1305	SMIM2
1306	PTPRD-AS1
1307	MIMT1
1308	AC008055.2
1309	MFHAS1
1310	LINC02069
1311	KLHL33
1312	WDFY4
1313	AP003721.2
1314	AC010809.2
1315	FAM20C
1316	AC023128.1
1317	FGFR2
1318	SEC22A
1319	CAPN6
1320	AL662884.1
1321	BTBD19
1322	LSMEM1
1323	AL110292.1
1324	AC018529.1
1325	SETD2
1326	MME-AS1
1327	AL136366.1
1328	HSFX2
1329	NTRK2
1330	KPNA7
1331	LINC02242
1332	DCP2
1333	RASGRF2-AS1
1334	AL590822.2
1335	CBY3
1336	AC234775.3
1337	AL354993.1
1338	AC010245.2
1339	AC104232.1
1340	AC011228.2
1341	LINC01936
1342	FCGR2B
1343	PRRT1B
1344	MYOG
1345	AC125603.4
1346	MAP3K6
1347	HLA-DQA2
1348	AP4B1
1349	PPM1L
1350	GET4
1351	BX322234.2
1352	GNAL
1353	TYW1B
1354	SHPK
1355	URB1-AS1
1356	REST
1357	SRPK2
1358	AP000253.1
1359	LAMB3
1360	FOXD1
1361	ARMS2
1362	AC008972.2
1363	EFHD1
1364	AP003066.1
1365	SRGAP2-AS1
1366	AC010327.8
1367	HES2
1368	TGS1
1369	OPN3
1370	CLDN2
1371	CD3D
1372	MYO1C
1373	AF287957.1
1374	LINC01411
1375	DNAJB14
1376	GVQW3
1377	PITX2
1378	PDLIM7
1379	RFX7
1380	LINC02082
1381	ABCA12
1382	AC004083.1
1383	OVCH2
1384	AP000692.2
1385	DIP2B
1386	JAKMIP1
1387	B9D1
1388	ITPKA
1389	VTI1A
1390	GPIHBP1
1391	AL158151.1
1392	AC017074.2
1393	TC2N
1394	POLRMT
1395	AP005242.5
1396	ZNF2
1397	GNG3
1398	WDFY2
1399	AL442071.1
1400	C12orf77
1401	PIAS1
1402	PPIAL4A
1403	TCAIM
1404	AL928970.1
1405	BORCS5
1406	TTC39C-AS1
1407	AL390067.1
1408	EMX2OS
1409	ASXL2
1410	LINC00315
1411	AC098848.1
1412	AC011405.1
1413	ADGRD2
1414	APOO
1415	DIO1
1416	AL355499.1
1417	LINC02649
1418	CDC7
1419	SLC26A4
1420	PCYOX1
1421	AC005332.1
1422	AC092127.2
1423	AC008568.1
1424	AC022098.4
1425	MIR29B2CHG
1426	AL132996.1
1427	CHGB
1428	HCAR3
1429	CS
1430	TMEM233
1431	POMP
1432	LINC02006
1433	AP005136.3
1434	MNX1-AS2
1435	AL391261.4
1436	POU6F2
1437	FBLL1
1438	LINC02489
1439	UQCRHL
1440	INTS12
1441	AC004969.1
1442	AC021683.3
1443	PURG
1444	AC027097.1
1445	AC023509.6
1446	LINC02762
1447	LAMA5
1448	SUSD2
1449	PISD
1450	AP002336.2
1451	SUFU
1452	SPOP
1453	CTSS
1454	PCDHB15
1455	ZNF628
1456	AC004771.4
1457	AC125603.1
1458	DAPL1
1459	DVL1
1460	AC126182.3
1461	PITRM1
1462	MRPL10
1463	NPR2
1464	OR2A5
1465	ZIC1
1466	NTS
1467	DNAJC6
1468	PRKCA
1469	DAGLA
1470	MED23
1471	SPAG9
1472	LINC00486
1473	NSG1
1474	CBLN3
1475	ZBTB11-AS1
1476	ZNF141
1477	AC113410.2
1478	GABRQ
1479	OTUD1
1480	IFNA5
1481	C11orf88
1482	AC007686.2
1483	AL583829.1
1484	CLCN4
1485	SOX15
1486	TSGA13
1487	HOXD11
1488	MGAT3
1489	SIGLEC12
1490	AC011731.1
1491	CAPN7
1492	SNX14
1493	CD14
1494	RHBG
1495	EDEM1
1496	SPAG1
1497	AC136604.3
1498	PKIA-AS1
1499	AL133445.2
1500	SULT4A1
1501	AC109462.2
1502	PRR5L
1503	KPTN
1504	ARHGAP6
1505	AL161747.2
1506	CASP8AP2
1507	SSX5
1508	AC005534.1
1509	TMOD4
1510	AC027013.1
1511	CAHM
1512	STMND1
1513	RBFOX1
1514	AC064853.1
1515	MIR548XHG
1516	LINC01656
1517	ZNF257
1518	RASSF5
1519	LINC01011
1520	AC079742.1
1521	FAM76A
1522	CPSF3
1523	AC093627.5
1524	OR5P3
1525	AC019163.1
1526	AL583785.1
1527	AC104170.1
1528	ANKRD18B
1529	AC091057.3
1530	CCR5
1531	DNAJB13
1532	AC011990.1
1533	AC018445.1
1534	TBC1D4
1535	ABCA4
1536	AC078906.1
1537	AC134407.1
1538	SRPRB
1539	AC026471.5
1540	AL121832.2
1541	RFX8
1542	ABCD4
1543	AC008759.2
1544	MFAP3
1545	ZNF821
1546	NARF
1547	AL163932.1
1548	AP003354.1
1549	AVEN
1550	AL355916.1
1551	AC009365.4
1552	PDCD11
1553	ACTR1B
1554	EXOSC5
1555	MGAM
1556	AP003064.2
1557	AL121917.1
1558	COL6A3
1559	AC068790.6
1560	CHRD
1561	PRRC2A
1562	AL162632.3
1563	ALPL
1564	VPS41
1565	EXT1
