	0
1251	DCXR-DT
1252	CDRT15
1253	TEKT3
1254	AC005479.2
1255	FKBP8
1256	AC097382.1
1257	AL020997.5
1258	C9orf64
1259	KCNK2
1260	UMPS
1261	ACOT4
1262	XRN1
1263	GPR42
1264	PCDHB3
1265	AP006216.1
1266	SLC25A2
1267	AC022558.1
1268	LINC01649
1269	NEURL4
1270	AC069277.1
1271	IQCB1
1272	AC008397.1
1273	LINC01843
1274	MTRES1
1275	IGSF23
1276	RFC1
1277	AC009236.2
1278	AC108751.4
1279	TRIB3
1280	TRMT10B
1281	AC100803.3
1282	AC129507.4
1283	AC022400.4
1284	NLRP13
1285	AC026748.3
1286	ZNF669
1287	FIGNL2-DT
1288	AL590648.2
1289	PRRT1B
1290	CENPC
1291	AP000766.1
1292	AC009309.1
1293	VIT
1294	AL672310.1
1295	MRI1
1296	UBL4B
1297	LINC01478
1298	TSLP
1299	DLGAP1-AS1
1300	PRKG2
1301	AL162574.1
1302	DUOX1
1303	EXOC5
1304	ASTN2-AS1
1305	PSG8-AS1
1306	DNAH17
1307	MRPL48
1308	AL512380.2
1309	AL035420.1
1310	OVOL2
1311	SCGB3A2
1312	AC127496.2
1313	SHFL
1314	PCGF3
1315	LGALS8
1316	BARHL1
1317	LINC01859
1318	PAK4
1319	LINC02293
1320	TRMT61B
1321	RIPPLY3
1322	PLCG2
1323	LY86
1324	HLA-DRA
1325	AC020656.1
1326	AC096536.3
1327	MAST4-AS1
1328	AC006348.1
1329	AC093297.1
1330	LINC02125
1331	CTRB1
1332	CPLX4
1333	SUDS3
1334	GYS2
1335	EOMES
1336	LIN28B
1337	PTAFR
1338	AC026462.4
1339	PCDHB5
1340	AC005522.1
1341	AC006449.1
1342	LINC02453
1343	CYB561
1344	LINC02273
1345	RAMP2-AS1
1346	PPIA
1347	MIB2
1348	AL161938.1
1349	INSR
1350	FGF16
1351	AC074290.2
1352	AC012309.2
1353	PPP1R14B
1354	WEE2
1355	LINC02192
1356	PRMT1
1357	HSD11B1
1358	LINC00551
1359	TDRKH
1360	DLEC1
1361	TEX33
1362	HYI-AS1
1363	PLA1A
1364	BBOX1
1365	TBC1D3D
1366	ABCE1
1367	P2RY12
1368	PTGER4
1369	AC091893.2
1370	C5orf24
1371	WWC2
1372	AP001198.1
1373	CACNA1B
1374	KLHL35
1375	AC036103.1
1376	HCST
1377	FAM71A
1378	MEIG1
1379	AC084816.1
1380	PTRHD1
1381	LGALS8-AS1
1382	FZD6
1383	AC008736.2
1384	AL157813.1
1385	AC137695.3
1386	AL050403.1
1387	OLAH
1388	IGFL2-AS1
1389	CCDC81
1390	SRGN
1391	LINC01993
1392	RARRES1
1393	AC010186.1
1394	DCST1
1395	PLXND1
1396	AC010624.3
1397	GPR174
1398	AC109446.3
1399	BFSP1
1400	AC087498.1
1401	IDS
1402	TKFC
1403	SPATA5
1404	AC118469.2
1405	SLC27A2
1406	PRPF8
1407	AC009975.1
1408	AC010969.1
1409	DCAF11
1410	AC009145.2
